,book,language
1063,18217724726,English
1064,10390215385,English
1065,21662450135,English
1066,22890297791,English
1067,30642614296,English
1068,30692377212,English
1069,22505124632,English
1070,30696156597,English
1071,22408988278,English
1072,30699868421,English
1073,30429723787,English
1074,22582318092,English
1075,27059037,English
1076,30719364395,English
1077,30175024279,English
1078,2795338710,English
1079,30699045077,English
1080,18369566244,English
1081,30220057175,English
1082,30032906202,English
1083,10253443391,English
1084,30543697288,English
1085,30667085532,English
1086,22505003481,English
1087,30627143714,English
1088,30711961716,English
1089,30179502854,English
1090,30365542322,English
1091,30735331325,English
1092,381789268,English
1093,30505774641,English
1094,30644571045,English
1095,30299235127,English
1096,30405755303,English
1097,21419752,English
1098,16201619952,English
1099,30605055028,English
1100,30349208601,English
1101,5334849969,English
1102,586706972,English
1103,30617831644,English
1104,30641300922,English
1105,30521947856,English
1106,758139714,English
1107,30384218741,English
1108,898001281,English
1109,30621936480,English
1110,17475986893,English
1111,15525845142,English
1112,8644770135,English
1113,30656874668,English
1114,30697790977,English
1115,22877616178,English
1116,30733180192,English
1117,30238555834,English
1118,303692372,English
1119,30538101288,English
1120,30740199431,English
1121,30662763775,English
1122,22531841507,English
1123,30706474914,English
1124,362354844,English
1125,30149718025,English
1126,30737635312,English
1127,30429270948,English
1128,30255639397,English
1129,30303597004,English
1130,22844627983,English
1131,30454911106,English
1132,30733393192,English
1133,30568676125,English
1134,10236871331,English
1135,30264905720,English
1136,30249696297,English
1137,22925602126,English
1138,30116002775,English
1139,30582848774,English
1140,30080476038,English
1141,30614250089,English
1142,30520520867,English
1143,30745836844,English
1144,30615967183,English
1145,17507276019,English
1146,30740419510,English
1147,30685044905,English
1148,30722595391,English
1149,30699080730,English
1150,30609768171,English
1151,30253520540,English
1152,22844627890,English
1153,30575684620,English
1154,30741989918,English
1155,30699300574,English
1156,30747254267,English
1157,30699080560,English
1158,2713065618,English
1159,219907698,English
1160,22817138505,English
1161,30594237582,English
1162,30324835559,English
1163,30620683091,English
1164,30137602972,English
1165,9405403007,English
1166,30109149713,English
1167,30577418637,English
1168,30647249176,English
1169,30551329039,English
1170,20572902642,English
1171,30118845605,English
1172,30739756250,English
1173,30748178759,English
1174,30742101855,English
1175,30405504481,English
1176,30053817990,English
1177,20673321153,English
1178,30746115884,English
1179,30536870648,English
1180,30367168499,English
1181,18572144197,English
1182,30753139562,English
1183,1368030828,English
1184,30563331262,English
1185,30271232517,English
1186,30617505148,English
1187,30602369998,English
1188,30699267039,English
1189,3828386155,English
1190,30738609545,English
1191,18075627086,English
1192,22920888415,English
1193,14461313120,English
1194,1270420421,English
1195,8942623395,English
1196,9742411646,English
1197,30733533960,English
1198,30272466981,English
1199,609409907,English
1200,30404064304,English
1201,30663797167,English
1202,16588001628,English
1203,30137479617,English
1204,22540662528,English
1205,30571379234,English
1206,30666176752,English
1207,30665131907,English
1208,30611167775,English
1209,1039445753,English
1210,30711729066,English
1211,30694786234,English
1212,30412935345,English
1213,30601110970,English
1214,30525229390,English
1215,5428788399,English
1216,30704210286,English
1217,1207397416,English
1218,22819962348,English
1219,30041453422,English
1220,30487834402,English
1221,30744570455,English
1222,17515521501,English
1223,30693672779,English
1224,152665796,English
1225,22408985163,English
1226,17922142412,English
1227,19972923403,English
1228,98716627,English
1229,30210928493,English
1230,10042376522,English
1231,12481311843,English
1232,30358520547,English
1233,30278901984,English
1234,30137483087,English
1235,30137467240,English
1236,30548120455,English
1237,30663429107,English
1238,30697853025,English
1239,30290118605,English
1240,30744317539,English
1241,30615832236,English
1242,30345446183,English
1243,30288842132,English
1244,30536903962,English
1245,30736427041,English
1246,641902420,English
1247,30381126611,English
1248,30573039059,English
1249,30697861109,English
1250,18518594470,English
1251,17834158761,English
1252,2780155689,English
1253,30354638602,English
1254,30166317999,English
1255,30649338159,English
1256,22256856990,English
1257,880572285,English
1258,30025550703,English
1259,30722939150,English
1260,30132927534,English
1261,21053898505,English
1262,30237339011,English
1263,30619264087,English
1264,30470510220,English
1265,14781988251,English
1266,30496814437,English
1267,30660746851,English
1268,30628688820,English
1269,9177465481,English
1270,22867333687,English
1271,792263735,English
1272,13911965627,French
1273,12613821190,English
1274,30692887045,English
1275,30743842382,English
1276,22408991012,English
1277,30738616102,English
1278,30750813660,English
1279,832410435,English
1280,12059030439,English
1281,30718111523,English
1282,30637008458,English
1283,22896984656,English
1284,30283016423,English
1285,30230418521,English
1286,1174609542,English
1287,30614228548,English
1288,30411497940,English
1289,197729822,English
1290,22629703149,English
1291,30533825586,English
1292,30553181776,German
1293,30584870242,English
1294,30471017317,English
1295,30137527023,English
1296,1329938319,English
1297,30247852244,English
1298,30587976048,English
1299,30234311335,English
1300,30556625638,English
1301,30743846080,English
1302,30606964444,English
1303,30456996157,English
1304,30425835720,English
1305,22845474495,English
1306,30080065810,English
1307,30697849688,English
1308,30732922681,English
1309,30553012691,English
1310,30343295167,English
1311,30699166666,English
1312,30587556695,English
1313,12582942135,English
1314,30715383922,English
1315,987184342,English
1316,1083466282,English
1317,30737771175,English
1318,19342717713,English
1319,30725369374,English
1320,30621255723,English
1321,30342544214,English
1322,30271155128,English
1323,30234056309,English
1324,30740769467,English
1325,9061568763,English
1326,22516161984,English
1327,30723750082,English
1328,16239547366,English
1329,12220754484,English
1330,30711924640,English
1331,30694503032,English
1332,30450498742,English
1333,30740770834,English
1334,30711982418,English
1335,30740677926,English
1336,30737369099,English
1337,22854045635,English
1338,30657359046,English
1339,30688805911,English
1340,30120580011,English
1341,5642072649,English
1342,30748223212,English
1343,30430422077,English
1344,30748470616,English
1345,2845020492,English
1346,30220750658,English
1347,30464063991,English
1348,30557212002,English
1349,30711835943,English
1350,30575196945,English
1351,30310716799,English
1352,30616208200,English
1353,30734078769,English
1354,30723874912,English
1355,22607281731,English
1356,30740761903,English
1357,1425230416,English
1358,30547846221,English
1359,15188396493,English
1360,30623910462,English
1361,226751730,English
1362,30327159411,English
1363,9695135519,English
1364,30739024316,English
1365,30310719623,English
1366,30494040732,English
1367,30137546438,English
1368,30310717455,English
1369,30602596700,English
1370,30626762830,English
1371,30749398161,English
1372,30556301377,English
1373,4785261960,English
1374,30043819116,English
1375,30577538311,English
1376,30174848077,English
1377,30740254160,English
1378,30662679638,English
1379,30370986346,English
1380,15453811073,English
1381,30720953992,English
1382,30739835435,English
1383,30662759031,English
1384,30422383221,English
1385,18720729558,English
1386,30732993858,English
1387,30739714864,English
1388,16776959296,English
1389,30137539543,English
1390,8812749032,English
1391,17004357783,English
1392,30747916416,English
1393,17004357656,English
1394,22900795027,English
1395,30259629672,English
1396,21733240388,English
1397,30663106817,English
1398,22420043329,English
1399,30699607262,English
1400,30707076242,English
1401,30668426902,English
1402,30699272601,English
1403,18440112995,English
1404,22420065033,English
1405,30577410741,English
1406,30616978431,English
1407,15039149220,English
1408,30622250736,English
1409,22823700639,English
1410,22506238387,English
1411,30699303224,English
1412,2786898050,English
1413,30614157218,English
1414,19586146168,English
1415,17683652843,English
1416,30230570919,English
1417,30740281702,English
1418,30266561255,English
1419,30728439724,English
1420,30737115307,English
1421,30620265038,English
1422,30705914204,English
1423,30590813161,English
1424,30276548629,English
1425,30699012964,English
1426,21031779900,English
1427,30277064592,English
1428,30324134990,English
1429,30073791822,English
1430,22539795352,English
1431,30618902668,English
1432,30082091534,English
1433,15517305565,English
1434,30515188131,English
1435,30699603832,English
1436,30301439914,English
1437,30267868874,English
1438,30604991902,English
1439,30737944945,English
1440,30647053255,English
1441,30324230737,English
1442,30591576566,English
1443,30027527767,English
1444,16881755652,English
1445,30504798481,English
1446,30278697293,English
1447,30577375783,English
1448,22020192322,English
1449,172778114,English
1450,30652780972,English
1451,30630997831,English
1452,11924291735,English
1453,30715057262,English
1454,30705597817,English
1455,77404867,English
1456,30410509355,English
1457,30710507613,English
1458,30137565836,English
1459,30727848969,English
1460,30252653307,English
1461,30137544965,English
1462,16794748174,English
1463,30647532444,English
1464,12754088828,English
1465,30699123894,English
1466,30257722657,English
1467,22505003916,English
1468,30725400752,English
1469,22020192669,English
1470,22849166915,English
1471,19650898911,English
1472,30564375343,English
1473,30665007865,English
1474,30666949187,English
1475,12901440996,English
1476,13568994103,English
1477,22589529202,English
1478,8086171188,English
1479,30740668863,English
1480,30554314302,English
1481,30739522717,English
1482,30357161682,English
1483,22578928888,English
1484,30598056380,English
1485,30086149946,English
1486,30601364324,English
1487,19247665284,English
1488,30339603406,English
1489,30339141978,English
1490,30636806157,English
1491,30531355051,English
1492,30688968393,English
1493,11488336857,English
1494,30040431929,English
1495,18289073181,English
1496,30357684266,English
1497,30656825065,English
1498,30642465549,English
1499,30520534108,English
1500,5766052571,English
1501,30698947950,English
1502,30723884338,English
1503,30239175924,English
